DATFILE : bwopen0_2r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 T : 4506.0
CONFIGURATIONS :
2913.0 2913.0 
2925.0 2925.0 
2936.0 2936.0 
2949.0 2949.0 
2960.0 2960.0 
2972.0 2972.0 
2984.0 2984.0 
2995.0 2995.0 
3007.0 3007.0 
3019.0 3019.0 
3030.0 3030.0 
3043.0 3043.0 
3054.0 3054.0 
3067.0 3067.0 
3080.0 3080.0 
3092.0 3092.0 
3104.0 3104.0 
3116.0 3116.0 
3128.0 3128.0 
3140.0 3140.0 
3153.0 3153.0 
3165.0 3165.0 
3177.0 3177.0 
3190.0 3190.0 
3201.0 3201.0 
3214.0 3214.0 
3227.0 3227.0 
3238.0 3238.0 
3251.0 3251.0 
3262.0 3262.0 
3273.0 3273.0 
3284.0 3284.0 
3297.0 3297.0 
3310.0 3310.0 
3321.0 3321.0 
3333.0 3333.0 
3344.0 3344.0 
3355.0 3355.0 
3366.0 3366.0 
3379.0 3379.0 
3391.0 3391.0 
3402.0 3402.0 
3415.0 3415.0 
3427.0 3427.0 
3438.0 3438.0 
3450.0 3450.0 
3461.0 3461.0 
3473.0 3473.0 
3484.0 3484.0 
3496.0 3496.0 
3508.0 3508.0 
3520.0 3520.0 
3532.0 3532.0 
3543.0 3543.0 
3556.0 3556.0 
3568.0 3568.0 
3580.0 3580.0 
3592.0 3592.0 
3601.0 3601.0 
3612.0 3612.0 
3626.0 3626.0 
3638.0 3638.0 
3650.0 3650.0 
3664.0 3664.0 
3675.0 3675.0 
3684.0 3684.0 
3696.0 3696.0 
3708.0 3708.0 
3720.0 3720.0 
3732.0 3732.0 
3744.0 3744.0 
3756.0 3756.0 
3767.0 3767.0 
3776.0 3776.0 
3788.0 3788.0 
3797.0 3797.0 
3808.0 3808.0 
3822.0 3822.0 
3835.0 3835.0 
3849.0 3849.0 
3860.0 3860.0 
3869.0 3869.0 
3881.0 3881.0 
3893.0 3893.0 
3906.0 3906.0 
3917.0 3917.0 
3929.0 3929.0 
3940.0 3940.0 
3951.0 3951.0 
3960.0 3960.0 
3971.0 3971.0 
3980.0 3980.0 
3991.0 3991.0 
4002.0 4002.0 
4015.0 4015.0 
4026.0 4026.0 
4037.0 4037.0 
4046.0 4046.0 
4057.0 4057.0 
4066.0 4066.0 
4077.0 4077.0 
4088.0 4088.0 
4100.0 4100.0 
4111.0 4111.0 
4124.0 4124.0 
4135.0 4135.0 
4146.0 4146.0 
4157.0 4157.0 
4169.0 4169.0 
4180.0 4180.0 
4193.0 4193.0 
4204.0 4204.0 
4216.0 4216.0 
4229.0 4229.0 
4241.0 4241.0 
4253.0 4253.0 
4262.0 4262.0 
4273.0 4273.0 
4285.0 4285.0 
4296.0 4296.0 
4307.0 4307.0 
4316.0 4316.0 
4327.0 4327.0 
4336.0 4336.0 
4347.0 4347.0 
4358.0 4358.0 
4370.0 4370.0 
4381.0 4381.0 
4394.0 4394.0 
4406.0 4406.0 
4415.0 4415.0 
4426.0 4426.0 
4438.0 4438.0 
4449.0 4449.0 
4458.0 4458.0 
4469.0 4469.0 
4480.0 4480.0 
4489.0 4489.0 
4506.0 4506.0 
;
EXECUTION TIME KUMAR2: 256.85019803 seconds

-------------------------------------------------------------------
MAP: bwopen0_
DATE: 2017-10-25_12-26-38
