DATFILE : offices1_3r_1000.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 8956.0
CONFIGURATIONS :
0 0 1 
1 1 1 
0 0 1 
1 1 0 
1 1 0 
1 0 1 
0 1 1 
1 1 1 
0 1 1 
1 1 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 1 
1 0 0 
1 1 1 
0 1 0 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 1 
;
MEASURING ROBOT :
0 0 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
0 0 0 
;
TIMETABLE : 
0 0 0 
18.0 10.0 0 
26.0 19.0 0 
33.0 29.0 0 
40.0 29.0 10.0 
47.0 37.0 10.0 
47.0 46.0 19.0 
54.0 46.0 33.0 
62.0 46.0 41.0 
62.0 55.0 49.0 
62.0 61.0 63.0 
78.0 67.0 63.0 
89.0 67.0 73.0 
89.0 73.0 81.0 
89.0 80.0 90.0 
100.0 87.0 90.0 
100.0 94.0 99.0 
110.0 94.0 105.0 
110.0 102.0 111.0 
117.0 102.0 117.0 
117.0 111.0 123.0 
117.0 117.0 132.0 
124.0 123.0 132.0 
124.0 129.0 141.0 
132.0 135.0 141.0 
132.0 141.0 149.0 
139.0 147.0 149.0 
146.0 156.0 149.0 
154.0 156.0 157.0 
162.0 156.0 166.0 
162.0 168.0 175.0 
170.0 168.0 183.0 
178.0 178.0 183.0 
187.0 185.0 183.0 
187.0 192.0 193.0 
196.0 199.0 193.0 
204.0 199.0 202.0 
212.0 206.0 202.0 
212.0 213.0 212.0 
220.0 220.0 212.0 
228.0 228.0 212.0 
237.0 235.0 212.0 
247.0 241.0 212.0 
247.0 247.0 222.0 
247.0 254.0 231.0 
257.0 254.0 240.0 
257.0 262.0 251.0 
266.0 271.0 251.0 
274.0 277.0 251.0 
282.0 277.0 262.0 
294.0 277.0 271.0 
302.0 283.0 271.0 
310.0 283.0 289.0 
317.0 289.0 289.0 
323.0 300.0 289.0 
332.0 310.0 289.0 
341.0 324.0 289.0 
349.0 324.0 307.0 
357.0 338.0 307.0 
357.0 348.0 317.0 
366.0 348.0 336.0 
366.0 364.0 346.0 
375.0 364.0 364.0 
381.0 364.0 371.0 
387.0 378.0 371.0 
393.0 378.0 378.0 
400.0 378.0 386.0 
400.0 388.0 394.0 
408.0 388.0 401.0 
415.0 388.0 415.0 
422.0 398.0 415.0 
430.0 412.0 415.0 
438.0 412.0 428.0 
449.0 412.0 435.0 
460.0 426.0 435.0 
472.0 426.0 450.0 
481.0 436.0 450.0 
487.0 436.0 464.0 
493.0 461.0 464.0 
499.0 461.0 478.0 
517.0 470.0 478.0 
529.0 478.0 478.0 
529.0 486.0 492.0 
529.0 495.0 502.0 
529.0 509.0 513.0 
529.0 523.0 519.0 
541.0 523.0 528.0 
541.0 537.0 536.0 
541.0 549.0 543.0 
541.0 555.0 549.0 
555.0 555.0 555.0 
555.0 561.0 561.0 
555.0 573.0 570.0 
571.0 573.0 579.0 
577.0 573.0 587.0 
577.0 585.0 597.0 
577.0 598.0 606.0 
583.0 598.0 616.0 
589.0 611.0 616.0 
595.0 611.0 626.0 
607.0 611.0 635.0 
607.0 621.0 644.0 
607.0 628.0 654.0 
621.0 635.0 654.0 
621.0 642.0 664.0 
635.0 642.0 673.0 
635.0 649.0 683.0 
635.0 659.0 691.0 
647.0 659.0 699.0 
647.0 669.0 707.0 
647.0 676.0 716.0 
657.0 683.0 716.0 
657.0 690.0 725.0 
666.0 690.0 731.0 
666.0 697.0 737.0 
674.0 697.0 743.0 
674.0 704.0 750.0 
682.0 711.0 750.0 
682.0 718.0 758.0 
682.0 732.0 769.0 
699.0 732.0 780.0 
709.0 742.0 780.0 
709.0 751.0 790.0 
721.0 751.0 797.0 
721.0 760.0 804.0 
735.0 760.0 811.0 
735.0 770.0 818.0 
749.0 770.0 825.0 
749.0 780.0 839.0 
761.0 789.0 839.0 
767.0 789.0 852.0 
773.0 798.0 852.0 
779.0 798.0 859.0 
785.0 808.0 859.0 
798.0 808.0 866.0 
798.0 818.0 874.0 
811.0 827.0 874.0 
821.0 827.0 889.0 
821.0 848.0 896.0 
831.0 848.0 903.0 
831.0 855.0 917.0 
844.0 862.0 917.0 
844.0 869.0 930.0 
844.0 879.0 937.0 
857.0 889.0 937.0 
863.0 896.0 937.0 
869.0 896.0 944.0 
875.0 903.0 954.0 
894.0 910.0 954.0 
894.0 917.0 968.0 
894.0 927.0 978.0 
908.0 937.0 978.0 
908.0 944.0 988.0 
926.0 944.0 998.0 
926.0 951.0 1009.0 
926.0 961.0 1015.0 
926.0 974.0 1024.0 
926.0 987.0 1032.0 
926.0 993.0 1040.0 
940.0 993.0 1048.0 
940.0 999.0 1056.0 
954.0 1005.0 1056.0 
954.0 1011.0 1065.0 
954.0 1023.0 1071.0 
968.0 1023.0 1077.0 
968.0 1037.0 1083.0 
982.0 1037.0 1097.0 
1000.0 1037.0 1106.0 
1000.0 1051.0 1114.0 
1000.0 1071.0 1122.0 
1014.0 1071.0 1130.0 
1014.0 1083.0 1138.0 
1014.0 1093.0 1150.0 
1027.0 1093.0 1158.0 
1033.0 1093.0 1166.0 
1039.0 1102.0 1166.0 
1045.0 1102.0 1174.0 
1062.0 1114.0 1174.0 
1075.0 1114.0 1185.0 
1075.0 1122.0 1191.0 
1088.0 1133.0 1191.0 
1111.0 1140.0 1191.0 
1125.0 1140.0 1205.0 
1125.0 1148.0 1231.0 
1139.0 1156.0 1231.0 
1151.0 1171.0 1231.0 
1164.0 1181.0 1231.0 
1164.0 1190.0 1253.0 
1177.0 1190.0 1262.0 
1177.0 1209.0 1272.0 
1187.0 1215.0 1272.0 
1194.0 1224.0 1272.0 
1201.0 1224.0 1282.0 
1208.0 1233.0 1282.0 
1208.0 1239.0 1291.0 
1222.0 1250.0 1291.0 
1222.0 1260.0 1300.0 
1239.0 1274.0 1300.0 
1239.0 1290.0 1319.0 
1239.0 1298.0 1337.0 
1239.0 1307.0 1346.0 
1248.0 1313.0 1356.0 
1258.0 1331.0 1356.0 
1258.0 1343.0 1374.0 
1258.0 1358.0 1395.0 
1281.0 1367.0 1408.0 
1294.0 1377.0 1415.0 
1317.0 1377.0 1422.0 
1317.0 1387.0 1429.0 
1337.0 1387.0 1443.0 
1337.0 1407.0 1456.0 
1355.0 1407.0 1463.0 
1355.0 1416.0 1470.0 
1361.0 1416.0 1478.0 
1367.0 1428.0 1478.0 
1378.0 1439.0 1478.0 
1396.0 1439.0 1486.0 
1406.0 1439.0 1493.0 
1406.0 1450.0 1507.0 
1417.0 1459.0 1507.0 
1436.0 1473.0 1507.0 
1463.0 1481.0 1507.0 
1463.0 1491.0 1530.0 
1463.0 1500.0 1541.0 
1485.0 1510.0 1541.0 
1507.0 1510.0 1564.0 
1507.0 1528.0 1576.0 
1507.0 1536.0 1583.0 
1542.0 1543.0 1583.0 
1542.0 1550.0 1597.0 
1580.0 1557.0 1597.0 
1600.0 1557.0 1610.0 
1600.0 1584.0 1618.0 
1600.0 1618.0 1639.0 
1627.0 1627.0 1639.0 
1638.0 1648.0 1662.0 
1648.0 1681.0 1673.0 
1658.0 1695.0 1689.0 
1668.0 1695.0 1699.0 
1678.0 1709.0 1719.0 
1695.0 1723.0 1734.0 
1704.0 1743.0 1742.0 
1737.0 1756.0 1750.0 
1751.0 1756.0 1758.0 
1751.0 1769.0 1766.0 
1765.0 1782.0 1777.0 
1790.0 1782.0 1793.0 
1804.0 1782.0 1803.0 
1804.0 1795.0 1816.0 
1804.0 1818.0 1825.0 
1804.0 1828.0 1831.0 
1804.0 1837.0 1838.0 
1818.0 1837.0 1845.0 
1818.0 1846.0 1851.0 
1818.0 1856.0 1860.0 
1832.0 1856.0 1869.0 
1832.0 1866.0 1877.0 
1832.0 1875.0 1890.0 
1863.0 1875.0 1914.0 
1897.0 1875.0 1943.0 
1910.0 1884.0 1952.0 
1910.0 1893.0 1992.0 
1918.0 1902.0 2002.0 
1960.0 1912.0 2018.0 
1960.0 1958.0 2032.0 
1970.0 1958.0 2058.0 
1988.0 1972.0 2058.0 
1995.0 1986.0 2066.0 
2002.0 1986.0 2084.0 
2010.0 1986.0 2092.0 
2010.0 2004.0 2101.0 
2031.0 2004.0 2111.0 
2045.0 2022.0 2111.0 
2080.0 2022.0 2123.0 
2090.0 2022.0 2158.0 
2109.0 2022.0 2172.0 
2125.0 2036.0 2172.0 
2125.0 2055.0 2225.0 
2153.0 2074.0 2266.0 
2173.0 2074.0 2317.0 
2242.0 2093.0 2317.0 
2242.0 2099.0 2339.0 
2252.0 2105.0 2347.0 
2266.0 2122.0 2347.0 
2266.0 2146.0 2355.0 
2266.0 2146.0 2386.0 
2273.0 2159.0 2386.0 
2273.0 2159.0 2407.0 
2273.0 2159.0 2418.0 
2283.0 2159.0 2438.0 
2283.0 2159.0 2452.0 
2296.0 2165.0 2452.0 
2296.0 2165.0 2462.0 
2296.0 2165.0 2473.0 
2296.0 2179.0 2500.0 
2309.0 2179.0 2510.0 
2309.0 2193.0 2531.0 
2329.0 2193.0 2552.0 
2329.0 2193.0 2573.0 
2354.0 2193.0 2586.0 
2354.0 2193.0 2593.0 
2354.0 2193.0 2620.0 
2373.0 2207.0 2636.0 
2373.0 2207.0 2678.0 
2386.0 2231.0 2678.0 
2403.0 2261.0 2678.0 
2428.0 2261.0 2689.0 
2428.0 2287.0 2696.0 
2446.0 2294.0 2704.0 
2446.0 2304.0 2715.0 
2460.0 2322.0 2726.0 
2460.0 2331.0 2755.0 
2474.0 2355.0 2755.0 
2474.0 2371.0 2769.0 
2474.0 2397.0 2821.0 
2492.0 2397.0 2859.0 
