DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 500.
STARTING_POS : 0
N_ROBOTS : 2
GREEDY sumD : 3970.0
SECONDARY T : 3885.0
CONFIGURATIONS : 
1089.0 1368.0 
1108.0 1368.0 
1108.0 1380.0 
1108.0 1392.0 
1108.0 1405.0 
1108.0 1418.0 
1108.0 1429.0 
1108.0 1442.0 
1108.0 1458.0 
1108.0 1473.0 
1108.0 1488.0 
1127.0 1488.0 
1142.0 1488.0 
1142.0 1503.0 
1179.0 1503.0 
1192.0 1503.0 
1192.0 1518.0 
1202.0 1518.0 
1225.0 1518.0 
1225.0 1532.0 
1225.0 1543.0 
1225.0 1556.0 
1225.0 1567.0 
1238.0 1567.0 
1248.0 1567.0 
1248.0 1587.0 
1258.0 1587.0 
1279.0 1587.0 
1290.0 1587.0 
1290.0 1600.0 
1290.0 1610.0 
1290.0 1621.0 
1301.0 1632.0 
1301.0 1642.0 
1312.0 1642.0 
1347.0 1642.0 
1347.0 1652.0 
1347.0 1663.0 
1347.0 1674.0 
1382.0 1674.0 
1382.0 1692.0 
1382.0 1717.0 
1382.0 1747.0 
1401.0 1747.0 
1419.0 1747.0 
1419.0 1780.0 
1440.0 1780.0 
1451.0 1780.0 
1451.0 1792.0 
1462.0 1792.0 
1462.0 1803.0 
1473.0 1803.0 
1496.0 1803.0 
1496.0 1814.0 
1509.0 1814.0 
1509.0 1849.0 
1520.0 1849.0 
1532.0 1849.0 
1532.0 1862.0 
1558.0 1875.0 
1570.0 1875.0 
1582.0 1875.0 
1582.0 1924.0 
1612.0 1924.0 
1625.0 1949.0 
1636.0 1949.0 
1636.0 1973.0 
1662.0 1997.0 
1724.0 1997.0 
1724.0 2032.0 
1724.0 2041.0 
1724.0 2052.0 
1735.0 2052.0 
1744.0 2052.0 
1744.0 2063.0 
1744.0 2086.0 
1753.0 2086.0 
1764.0 2086.0 
1776.0 2086.0 
1800.0 2116.0 
1800.0 2170.0 
;
EXECUTION TIME: 5.59485507011 seconds 

-------------------------------------------------------------------
DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 500.
STARTING_POS : 0
N_ROBOTS : 3
GREEDY sumD : 3284.0
SECONDARY T : 2468.0
CONFIGURATIONS : 
0 0 0 
0 4 0 
0 4 26 
0 22 26 
0 22 5 
0 8 5 
4 8 5 
4 8 26 
4 8 26 
4 8 22 
26 8 22 
26 8 22 
5 8 22 
5 8 22 
22 8 22 
22 13 22 
26 13 22 
26 17 22 
26 17 5 
26 17 5 
26 17 5 
4 17 5 
4 13 5 
4 13 5 
4 13 1 
4 13 1 
4 25 1 
26 25 1 
26 25 1 
5 25 1 
5 25 1 
5 18 1 
22 18 1 
22 14 1 
8 14 1 
8 15 1 
8 15 27 
8 15 27 
22 15 27 
22 10 27 
26 10 27 
5 10 27 
5 24 27 
4 24 27 
4 6 27 
0 6 27 
0 21 27 
0 3 27 
0 3 1 
0 3 1 
0 3 2 
0 3 2 
4 3 2 
4 21 2 
26 21 2 
5 21 2 
5 6 2 
22 6 2 
22 24 2 
8 24 2 
8 10 2 
8 15 2 
8 15 6 
22 15 6 
22 15 6 
26 15 6 
26 10 6 
5 10 6 
5 10 21 
5 10 21 
5 15 21 
5 15 3 
5 10 3 
9 10 3 
9 24 3 
9 24 21 
9 24 21 
9 24 6 
9 24 6 
9 24 24 
9 24 10 
9 24 10 
9 24 15 
9 24 15 
9 24 14 
9 24 14 
9 24 18 
9 24 18 
9 24 25 
9 24 25 
9 24 17 
9 24 17 
9 24 13 
9 24 13 
9 24 8 
9 11 8 
9 11 22 
10 11 22 
10 11 22 
15 11 22 
15 11 22 
15 11 22 
14 11 22 
14 11 26 
18 11 26 
18 11 5 
25 11 5 
25 11 1 
25 6 1 
25 6 1 
18 6 1 
18 21 1 
14 21 1 
14 24 1 
14 10 1 
14 10 27 
14 10 27 
18 10 27 
18 10 27 
18 9 27 
25 9 27 
25 9 1 
25 27 1 
25 27 0 
17 27 0 
17 27 0 
13 27 0 
13 9 0 
13 10 0 
14 10 0 
14 24 0 
14 24 4 
14 24 4 
18 24 4 
18 24 26 
18 24 26 
18 24 5 
18 24 5 
18 24 22 
18 24 22 
18 24 8 
18 24 8 
18 10 8 
14 10 8 
14 15 8 
14 15 22 
14 15 22 
14 15 26 
18 15 26 
18 15 26 
18 14 26 
25 14 26 
25 14 26 
25 14 5 
25 18 5 
25 18 22 
17 18 22 
13 18 22 
13 14 22 
13 14 8 
17 14 8 
17 14 8 
17 25 8 
17 25 8 
17 25 13 
17 25 13 
17 15 13 
17 15 13 
17 10 13 
17 10 13 
19 10 13 
19 10 17 
19 10 25 
19 10 25 
19 10 25 
19 15 25 
19 15 18 
19 15 18 
19 15 14 
20 15 14 
20 15 14 
23 15 14 
23 15 14 
23 10 14 
16 10 14 
16 10 15 
16 10 15 
16 10 15 
12 10 15 
12 10 15 
12 24 15 
12 24 19 
16 24 19 
23 24 19 
23 6 19 
23 21 19 
23 21 19 
23 7 19 
20 7 19 
20 7 20 
20 7 23 
20 7 23 
20 7 16 
20 21 16 
20 21 16 
