DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / cardinality : 2484.0
CONFIGURATIONS :
CONFIGURATIONS :
0 0 0 
0 4 26 
0 22 5 
4 8 5 
26 8 22 
4 13 22 
26 13 5 
0 8 1 
0 13 27 
4 17 27 
22 25 27 
5 18 27 
26 14 27 
4 14 1 
26 18 1 
5 25 1 
22 17 1 
4 18 2 
22 14 2 
5 15 2 
26 10 2 
0 9 2 
0 10 6 
0 15 21 
0 14 3 
4 15 3 
22 10 3 
4 10 21 
22 15 6 
5 14 6 
22 18 21 
8 18 3 
8 14 21 
13 18 6 
8 25 6 
8 13 24 
8 17 10 
13 25 10 
17 25 15 
13 17 14 
17 18 9 
25 14 9 
13 15 9 
8 15 27 
13 19 1 
17 19 0 
25 20 0 
18 23 0 
25 16 4 
25 12 26 
17 12 5 
17 16 26 
8 7 9 
4 7 24 
26 21 24 
5 3 24 
26 3 6 
5 7 21 
1 3 7 
27 3 21 
1 21 6 
27 7 6 
9 3 11 
10 7 11 
9 12 6 
9 16 21 
24 16 6 
10 12 24 
15 16 10 
14 23 10 
18 20 10 
14 20 15 
18 19 14 
19 20 9 
19 23 24 
20 23 6 
19 16 11 
20 12 11 
19 12 21 
20 16 3 
23 12 3 
16 12 7 
23 11 21 
19 6 2 
20 21 2 
23 7 2 
23 16 1 
19 7 26 
20 7 22 
15 11 1 
9 10 1 
27 24 1 
2 11 27 
1 12 2 
0 11 24 
4 11 6 
22 9 24 
17 24 2 
13 2 3 
8 2 16 
9 27 23 
15 26 23 
10 5 19 
15 24 18 
18 11 25 
19 3 25 
20 3 17 
20 21 13 
23 21 17 
16 7 13 
23 7 25 
16 7 18 
12 7 14 
12 7 15 
16 11 14 
20 24 14 
23 11 13 
20 11 8 
23 11 22 
20 11 26 
20 11 5 
16 10 27 
16 9 5 
12 9 4 
12 27 0 
23 5 4 
16 22 0 
20 4 1 
19 4 27 
19 8 22 
12 8 13 
7 0 17 
12 22 18 
21 24 25 
6 11 17 
2 6 25 
0 15 19 
26 9 18 
0 27 20 
8 27 23 
0 0 0 
;

MOVING ROBOT :
0 0 0 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
1 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
0 1 1 
1 1 1 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
1 0 1 
1 1 0 
1 1 0 
1 1 1 
0 1 1 
1 0 1 
0 1 1 
1 1 1 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
1 1 1 
1 1 0 
1 1 1 
0 1 1 
1 0 1 
1 1 1 
1 1 1 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
0 1 1 
1 0 1 
1 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
1 1 0 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
1 1 1 
1 0 1 
1 0 1 
1 0 1 
0 0 1 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
1 0 1 
1 0 1 
0 0 1 
1 1 1 
0 1 1 
1 0 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
0 1 1 
1 0 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
;
MEASURING ROBOT :
0 0 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
0 0 0 
;
TIMETABLE : 
0 0 0 
17.0 17.0 17.0 
29.0 29.0 29.0 
43.0 43.0 43.0 
55.0 55.0 55.0 
68.0 68.0 68.0 
80.0 80.0 80.0 
98.0 98.0 98.0 
113.0 113.0 113.0 
127.0 127.0 127.0 
139.0 139.0 139.0 
152.0 152.0 152.0 
163.0 163.0 163.0 
178.0 178.0 178.0 
189.0 189.0 189.0 
202.0 202.0 202.0 
214.0 214.0 214.0 
234.0 234.0 234.0 
246.0 246.0 246.0 
259.0 259.0 259.0 
270.0 270.0 270.0 
287.0 287.0 287.0 
305.0 305.0 305.0 
317.0 317.0 317.0 
330.0 330.0 330.0 
344.0 344.0 344.0 
356.0 356.0 356.0 
368.0 368.0 368.0 
380.0 380.0 380.0 
393.0 393.0 393.0 
405.0 405.0 405.0 
417.0 417.0 417.0 
429.0 429.0 429.0 
442.0 442.0 442.0 
455.0 455.0 455.0 
468.0 468.0 468.0 
481.0 481.0 481.0 
494.0 494.0 494.0 
505.0 505.0 505.0 
518.0 518.0 518.0 
535.0 535.0 535.0 
547.0 547.0 547.0 
560.0 560.0 560.0 
575.0 575.0 575.0 
599.0 599.0 599.0 
617.0 617.0 617.0 
630.0 630.0 630.0 
643.0 643.0 643.0 
657.0 657.0 657.0 
668.0 668.0 668.0 
680.0 680.0 680.0 
691.0 691.0 691.0 
722.0 722.0 722.0 
737.0 737.0 737.0 
749.0 749.0 749.0 
761.0 761.0 761.0 
774.0 774.0 774.0 
790.0 790.0 790.0 
808.0 808.0 808.0 
823.0 823.0 823.0 
838.0 838.0 838.0 
853.0 853.0 853.0 
870.0 870.0 870.0 
886.0 886.0 886.0 
904.0 904.0 904.0 
916.0 916.0 916.0 
931.0 931.0 931.0 
944.0 944.0 944.0 
957.0 957.0 957.0 
970.0 970.0 970.0 
981.0 981.0 981.0 
992.0 992.0 992.0 
1005.0 1005.0 1005.0 
1025.0 1025.0 1025.0 
1040.0 1040.0 1040.0 
1053.0 1053.0 1053.0 
1070.0 1070.0 1070.0 
1083.0 1083.0 1083.0 
1102.0 1102.0 1102.0 
1115.0 1115.0 1115.0 
1126.0 1126.0 1126.0 
1142.0 1142.0 1142.0 
1169.0 1169.0 1169.0 
1195.0 1195.0 1195.0 
1208.0 1208.0 1208.0 
1220.0 1220.0 1220.0 
1247.0 1247.0 1247.0 
1274.0 1274.0 1274.0 
1287.0 1287.0 1287.0 
1318.0 1318.0 1318.0 
1339.0 1339.0 1339.0 
1354.0 1354.0 1354.0 
1373.0 1373.0 1373.0 
1400.0 1400.0 1400.0 
1427.0 1427.0 1427.0 
1441.0 1441.0 1441.0 
1466.0 1466.0 1466.0 
1496.0 1496.0 1496.0 
1518.0 1518.0 1518.0 
1561.0 1561.0 1561.0 
1593.0 1593.0 1593.0 
1615.0 1615.0 1615.0 
1638.0 1638.0 1638.0 
1673.0 1673.0 1673.0 
1691.0 1691.0 1691.0 
1722.0 1722.0 1722.0 
1735.0 1735.0 1735.0 
1747.0 1747.0 1747.0 
1758.0 1758.0 1758.0 
1770.0 1770.0 1770.0 
1783.0 1783.0 1783.0 
1796.0 1796.0 1796.0 
1807.0 1807.0 1807.0 
1820.0 1820.0 1820.0 
1845.0 1845.0 1845.0 
1866.0 1866.0 1866.0 
1891.0 1891.0 1891.0 
1904.0 1904.0 1904.0 
1916.0 1916.0 1916.0 
1927.0 1927.0 1927.0 
1936.0 1936.0 1936.0 
1957.0 1957.0 1957.0 
1978.0 1978.0 1978.0 
1992.0 1992.0 1992.0 
2007.0 2007.0 2007.0 
2029.0 2029.0 2029.0 
2043.0 2043.0 2043.0 
2064.0 2064.0 2064.0 
2079.0 2079.0 2079.0 
2110.0 2110.0 2110.0 
2155.0 2155.0 2155.0 
2181.0 2181.0 2181.0 
2205.0 2205.0 2205.0 
2242.0 2242.0 2242.0 
2260.0 2260.0 2260.0 
2278.0 2277.0 2278.0 
2314.0 2314.0 2314.0 
2335.0 2335.0 2334.0 
2352.0 2367.0 2367.0 
2378.0 2367.0 2378.0 
2404.0 2400.0 2484.0 
;
EXECUTION TIME KUMAR3: 53.5489418507 seconds

-------------------------------------------------------------------
DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / objective : 2697.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 4 5 
0 26 5 
1 5 26 
1 5 4 
1 22 4 
1 22 26 
27 22 26 
27 22 5 
27 4 5 
27 4 1 
27 0 1 
9 0 1 
10 0 1 
15 0 1 
14 0 1 
18 0 1 
25 0 1 
17 0 1 
13 0 1 
8 0 1 
22 0 1 
22 0 2 
26 0 2 
26 4 2 
5 4 2 
5 8 2 
26 8 2 
5 8 6 
26 8 6 
26 22 6 
4 22 6 
4 8 6 
4 8 21 
26 8 21 
26 22 21 
5 22 21 
5 13 21 
26 13 21 
26 13 3 
5 13 3 
5 17 3 
26 17 3 
26 17 21 
4 17 21 
4 17 3 
4 13 3 
4 13 7 
4 17 7 
26 17 7 
5 17 7 
5 25 7 
26 25 7 
26 25 21 
4 25 21 
4 25 3 
22 25 3 
8 17 3 
8 13 3 
8 17 7 
22 17 7 
22 13 7 
22 13 12 
26 13 12 
26 17 12 
5 17 12 
5 25 12 
4 25 12 
4 18 12 
4 14 12 
4 14 16 
4 14 23 
4 14 20 
4 18 20 
26 18 20 
5 18 20 
5 18 23 
26 18 23 
26 14 23 
5 14 16 
26 14 16 
26 18 16 
22 18 16 
22 14 12 
8 14 12 
8 18 12 
8 18 16 
8 14 23 
8 14 20 
8 15 20 
8 15 23 
22 15 23 
22 15 20 
22 10 20 
22 10 23 
26 10 23 
5 10 20 
5 15 20 
5 15 19 
26 15 19 
4 10 19 
4 15 19 
4 15 18 
0 10 14 
0 10 18 
8 10 18 
8 10 25 
8 15 25 
13 15 25 
13 10 25 
13 10 17 
13 15 17 
25 12 17 
18 12 13 
14 12 13 
14 12 17 
18 12 17 
18 16 17 
25 16 17 
25 16 13 
14 23 13 
14 20 13 
9 20 13 
9 23 13 
9 23 17 
9 20 17 
24 20 17 
24 23 17 
24 23 13 
24 16 13 
24 16 8 
24 12 8 
24 12 22 
