DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 4664.0
CONFIGURATIONS :
1 0 1 
1 1 1 
1 0 1 
0 1 1 
1 0 0 
0 1 1 
1 0 1 
1 1 1 
1 1 0 
0 1 1 
0 1 0 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
1 0 1 
1 1 1 
;
MEASURING ROBOT :
0 0 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 0 1 
1 0 1 
0 0 0 
;
TIMETABLE : 
0 0 0 
0 14.0 17.0 
0 26.0 26.0 
14.0 38.0 26.0 
26.0 38.0 35.0 
26.0 51.0 46.0 
38.0 51.0 57.0 
56.0 62.0 57.0 
56.0 74.0 66.0 
71.0 74.0 75.0 
71.0 86.0 84.0 
86.0 86.0 96.0 
86.0 97.0 108.0 
100.0 108.0 108.0 
111.0 120.0 108.0 
122.0 120.0 120.0 
122.0 133.0 131.0 
133.0 133.0 140.0 
133.0 144.0 149.0 
144.0 144.0 158.0 
157.0 144.0 170.0 
157.0 155.0 182.0 
170.0 166.0 182.0 
170.0 177.0 194.0 
182.0 177.0 206.0 
194.0 188.0 206.0 
194.0 199.0 219.0 
206.0 210.0 219.0 
218.0 210.0 230.0 
218.0 221.0 242.0 
236.0 232.0 242.0 
236.0 243.0 254.0 
247.0 256.0 254.0 
258.0 256.0 265.0 
268.0 268.0 265.0 
278.0 268.0 292.0 
288.0 280.0 292.0 
288.0 293.0 306.0 
298.0 304.0 306.0 
309.0 317.0 306.0 
320.0 328.0 306.0 
331.0 328.0 320.0 
342.0 339.0 320.0 
360.0 339.0 332.0 
360.0 350.0 351.0 
360.0 363.0 364.0 
360.0 378.0 378.0 
372.0 378.0 389.0 
384.0 378.0 398.0 
384.0 393.0 407.0 
396.0 393.0 416.0 
408.0 406.0 416.0 
408.0 423.0 425.0 
420.0 423.0 436.0 
432.0 423.0 448.0 
454.0 423.0 460.0 
454.0 440.0 469.0 
454.0 452.0 480.0 
454.0 464.0 492.0 
454.0 480.0 506.0 
472.0 492.0 506.0 
472.0 504.0 524.0 
484.0 504.0 539.0 
484.0 520.0 554.0 
503.0 538.0 554.0 
503.0 549.0 569.0 
503.0 560.0 584.0 
503.0 570.0 598.0 
503.0 583.0 609.0 
520.0 583.0 620.0 
520.0 596.0 631.0 
532.0 606.0 631.0 
544.0 606.0 642.0 
566.0 606.0 655.0 
566.0 616.0 670.0 
566.0 629.0 685.0 
585.0 642.0 685.0 
598.0 652.0 685.0 
598.0 663.0 700.0 
611.0 674.0 700.0 
611.0 685.0 728.0 
648.0 696.0 728.0 
660.0 706.0 728.0 
673.0 719.0 728.0 
684.0 719.0 746.0 
695.0 749.0 746.0 
708.0 767.0 746.0 
721.0 782.0 764.0 
732.0 782.0 779.0 
745.0 796.0 779.0 
745.0 828.0 794.0 
763.0 828.0 836.0 
780.0 847.0 849.0 
780.0 860.0 879.0 
791.0 860.0 897.0 
791.0 898.0 916.0 
804.0 909.0 916.0 
804.0 920.0 934.0 
816.0 920.0 969.0 
827.0 920.0 1019.0 
836.0 931.0 1019.0 
845.0 931.0 1032.0 
854.0 942.0 1032.0 
866.0 987.0 1032.0 
878.0 987.0 1042.0 
917.0 1021.0 1042.0 
950.0 1048.0 1042.0 
971.0 1048.0 1064.0 
1005.0 1064.0 1082.0 
1005.0 1076.0 1160.0 
1055.0 1120.0 1200.0 
1055.0 1138.0 1214.0 
1070.0 1138.0 1240.0 
1098.0 1138.0 1256.0 
1138.0 1138.0 1269.0 
1150.0 1156.0 1280.0 
1175.0 1176.0 1280.0 
1188.0 1176.0 1314.0 
1200.0 1176.0 1326.0 
1212.0 1195.0 1337.0 
1237.0 1195.0 1363.0 
1237.0 1221.0 1374.0 
1267.0 1221.0 1374.0 
1267.0 1236.0 1385.0 
1298.0 1236.0 1403.0 
1319.0 1268.0 1426.0 
1350.0 1292.0 1426.0 
1350.0 1340.0 1442.0 
1350.0 1361.0 1442.0 
1362.0 1361.0 1467.0 
1362.0 1372.0 1526.0 
1374.0 1372.0 1536.0 
1433.0 1446.0 1536.0 
1444.0 1446.0 1547.0 
1456.0 1446.0 1581.0 
1483.0 1446.0 1605.0 
1522.0 1470.0 1672.0 
;
EXECUTION TIME KUMAR3: 54.692013979 seconds

-------------------------------------------------------------------
DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 sumD / objective : 4358.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 4 5 
0 26 5 
0 22 5 
0 22 26 
0 22 4 
0 8 4 
0 8 26 
0 8 5 
0 8 22 
0 13 22 
0 17 22 
0 17 26 
0 17 5 
0 13 5 
0 13 26 
0 13 4 
0 17 4 
0 25 4 
0 25 26 
0 25 5 
0 25 22 
0 25 8 
0 17 8 
0 13 8 
1 13 8 
1 17 8 
1 25 8 
1 25 22 
1 25 26 
1 25 5 
1 18 5 
1 18 26 
1 14 26 
1 14 5 
1 14 22 
1 18 22 
1 18 4 
1 14 4 
1 15 4 
1 10 4 
1 10 26 
1 10 5 
1 15 5 
1 15 26 
1 15 22 
1 10 22 
1 10 8 
1 15 8 
1 14 8 
1 18 8 
1 18 13 
1 14 13 
1 14 17 
1 18 17 
1 18 25 
1 14 25 
1 15 25 
1 10 25 
1 10 17 
1 10 13 
1 15 13 
1 15 17 
27 15 17 
27 10 17 
27 10 13 
27 24 13 
27 24 17 
27 24 25 
27 6 25 
27 21 25 
27 21 17 
27 21 13 
27 3 13 
27 3 17 
27 3 25 
27 3 18 
27 3 14 
27 21 14 
27 21 18 
27 6 18 
27 6 14 
27 24 14 
27 24 18 
27 10 18 
27 15 18 
27 15 14 
27 10 14 
27 10 15 
27 24 15 
27 24 10 
27 6 10 
27 6 15 
27 21 15 
27 21 10 
27 3 10 
27 3 15 
1 3 15 
1 21 15 
1 6 15 
1 24 15 
1 9 15 
1 9 10 
1 9 24 
1 9 6 
1 9 21 
1 9 3 
1 24 3 
1 24 21 
1 24 6 
1 24 11 
1 6 11 
1 21 11 
1 3 11 
27 3 11 
9 3 11 
10 3 11 
15 3 11 
14 3 11 
18 3 11 
25 3 11 
17 3 11 
13 3 11 
8 3 11 
22 3 11 
26 3 11 
5 3 11 
5 21 11 
26 21 11 
4 21 11 
4 3 11 
0 3 11 
0 21 11 
0 6 11 
0 24 11 
0 10 11 
0 15 11 
0 14 11 
0 18 11 
0 19 11 
0 20 11 
0 23 11 
0 16 11 
0 12 11 
4 12 11 
26 12 11 
5 12 11 
5 16 11 
26 16 11 
4 16 11 
4 23 11 
4 20 11 
26 20 11 
5 20 11 
5 23 11 
26 23 11 
22 23 11 
22 20 11 
8 20 11 
8 23 11 
8 16 11 
8 12 11 
22 12 11 
22 16 11 
22 16 6 
26 16 6 
5 16 6 
5 12 6 
5 12 21 
5 16 21 
5 23 21 
5 20 21 
5 20 3 
5 23 3 
5 16 3 
5 12 3 
